,fname,resolution,missing code,loinc_ent,ner entity
0,36961_1774164_part2.json,TERM Missing in databse ,3040-3,"{'textSpan': {'text': 'Lipase', 'beginOffset': 3943}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory Tests', 'beginOffset': 1617}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 139, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [], 'value': [963]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [3943], 'cuis': ['C0373670'], 'end': [3949], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 29, 'segmentId': 146, 'sentenceId': 146, 'status': 'CURRENT', 'textSpan': [{'begin': 3943, 'end': 3949, 'text': 'Lipase'}], 'type': 'LABORATORY_DATA'}"
1,35818_1769865_part2.json,,2345-7,"{'textSpan': {'text': 'Glucose Level', 'beginOffset': 1058}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory Tests', 'beginOffset': 0}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 26, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [365], 'value': [363, 364]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [1058], 'cuis': ['C0337438'], 'end': [1071], 'sourceType': ['CHV'], 'suis': [], 'tuis': ['T059']}, {'begin': [1058], 'cuis': ['C0337438'], 'end': [1065], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}, {'begin': [1066], 'cuis': ['C0456079'], 'end': [1071], 'sourceType': ['SNOMEDCT_US'], 'suis': [], 'tuis': ['T185']}]}, 'sectionId': 1, 'segmentId': 42, 'sentenceId': 42, 'status': 'CURRENT', 'textSpan': [{'begin': 1058, 'end': 1071, 'text': 'Glucose Level'}], 'type': 'LABORATORY_DATA'}"
2,35192_2228407.json,,2284-8,"{'textSpan': {'text': 'Folate', 'beginOffset': 4688}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory', 'beginOffset': 2497}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 82, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [2234], 'value': [2229, 2230, 2231, 2233, 2239, 2240, 2242, 2244, 2246, 2249, 2250, 2252, 2254, 2256, 2258]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [4688], 'cuis': ['C0523631'], 'end': [4694], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 23, 'segmentId': 115, 'sentenceId': 122, 'status': 'CURRENT', 'textSpan': [{'begin': 4688, 'end': 4694, 'text': 'Folate'}], 'type': 'LABORATORY_DATA'}"
3,35192_2228407.json,,2571-8,"{'textSpan': {'text': 'Triglycerides', 'beginOffset': 4392}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory', 'beginOffset': 2497}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 77, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [2079], 'value': [2077, 2078, 2084, 2085, 2087, 2090, 2091, 2093, 2095, 2097, 2099]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [4392], 'cuis': ['C0202236'], 'end': [4405], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 23, 'segmentId': 109, 'sentenceId': 116, 'status': 'CURRENT', 'textSpan': [{'begin': 4392, 'end': 4405, 'text': 'Triglycerides'}], 'type': 'LABORATORY_DATA'}"
4,3547_PDOC-ITS20150807-0709.json,,16324-6,"{'textSpan': {'text': 'ALT Ratio', 'beginOffset': 3139}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory Tests', 'beginOffset': 2067}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 64, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [], 'value': [1263, 1264, 1266]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [3139], 'cuis': ['C4553172', 'C0201836'], 'end': [3142], 'sourceType': ['NCI', 'NCI_CDISC'], 'suis': [], 'tuis': ['T061', 'T059']}, {'begin': [3143], 'cuis': ['C0456603'], 'end': [3148], 'sourceType': ['MTH'], 'suis': [], 'tuis': ['T081']}]}, 'sectionId': 26, 'segmentId': 107, 'sentenceId': 108, 'status': 'CURRENT', 'textSpan': [{'begin': 3139, 'end': 3148, 'text': 'ALT Ratio'}], 'type': 'LABORATORY_DATA'}"
5,3547_PDOC-ITS20150807-0709.json,,16324-6,"{'textSpan': {'text': 'Red Cell', 'beginOffset': 3100}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory Tests', 'beginOffset': 2067}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 62, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [1248], 'unit': [1257], 'value': [1253, 1254]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [3100], 'cuis': ['C0014792'], 'end': [3108], 'sourceType': ['NCI'], 'suis': [], 'tuis': ['T025']}, {'begin': [3100], 'cuis': ['C0332575', 'C1260956'], 'end': [3103], 'sourceType': ['SNOMEDCT_US', 'SNOMEDCT_US'], 'suis': [], 'tuis': ['T033', 'T080']}, {'begin': [3104], 'cuis': ['C0007634'], 'end': [3108], 'sourceType': ['SNOMEDCT_US'], 'suis': [], 'tuis': ['T025']}, {'begin': [3109], 'cuis': ['C1704711'], 'end': [3121], 'sourceType': ['MTH'], 'suis': [], 'tuis': ['T169']}]}, 'sectionId': 26, 'segmentId': 107, 'sentenceId': 108, 'status': 'CURRENT', 'textSpan': [{'begin': 3100, 'end': 3121, 'text': 'Red Cell Distribution'}], 'type': 'LABORATORY_DATA'}"
6,10369_103530SRHC_20181026132736.941.json,,32623-1,"{'textSpan': {'text': 'MPV', 'beginOffset': 1321}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'Laboratory', 'beginOffset': 897}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 19, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [585], 'value': [580, 581, 582, 584, 588, 589, 591, 593, 595, 598, 599, 601, 603, 605, 607]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [1321], 'cuis': ['C4553738', 'C1881498', 'C0200665'], 'end': [1324], 'sourceType': ['NCI', 'NCI', 'MEDCIN'], 'suis': [], 'tuis': ['T061', 'T061', 'T059']}]}, 'sectionId': 17, 'segmentId': 47, 'sentenceId': 47, 'status': 'CURRENT', 'textSpan': [{'begin': 1321, 'end': 1324, 'text': 'MPV'}], 'type': 'LABORATORY_DATA'}"
7,35818_1769865_part1.json,,2339-0,"{'textSpan': {'text': 'blood glucose', 'beginOffset': 1198}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'HPI', 'beginOffset': 339}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 31, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [260], 'unit': [], 'value': [262]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [1198], 'cuis': ['C0392201', 'C0392201', 'C0392201'], 'end': [1211], 'sourceType': ['MDR', 'MEDCIN', 'MEDLINEPLUS'], 'suis': [], 'tuis': ['T059', 'T059', 'T059']}, {'begin': [1198], 'cuis': ['C0005767'], 'end': [1203], 'sourceType': ['MTH'], 'suis': [], 'tuis': ['T031']}, {'begin': [1204], 'cuis': ['C0337438'], 'end': [1211], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 12, 'segmentId': 15, 'sentenceId': 24, 'status': 'CURRENT', 'textSpan': [{'begin': 1198, 'end': 1211, 'text': 'blood glucose'}], 'type': 'LABORATORY_DATA'}"
8,35818_1769865_part1.json,,2339-0,"{'textSpan': {'text': 'blood', 'beginOffset': 1198}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'HPI', 'beginOffset': 339}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 31, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [260], 'unit': [], 'value': [262]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [1198], 'cuis': ['C0392201', 'C0392201', 'C0392201'], 'end': [1211], 'sourceType': ['MDR', 'MEDCIN', 'MEDLINEPLUS'], 'suis': [], 'tuis': ['T059', 'T059', 'T059']}, {'begin': [1198], 'cuis': ['C0005767'], 'end': [1203], 'sourceType': ['MTH'], 'suis': [], 'tuis': ['T031']}, {'begin': [1204], 'cuis': ['C0337438'], 'end': [1211], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 12, 'segmentId': 15, 'sentenceId': 24, 'status': 'CURRENT', 'textSpan': [{'begin': 1198, 'end': 1211, 'text': 'blood glucose'}], 'type': 'LABORATORY_DATA'}"
9,35818_1769865_part1.json,,38483-4,"{'textSpan': {'text': 'creatinine', 'beginOffset': 1176}, 'certainty': 'POSITIVE', 'status': 'CURRENT', 'section': {'text': 'HPI', 'beginOffset': 339}}","{'certainty': 'POSITIVE', 'confidence': 0.5, 'drugStatus': None, 'id': 30, 'metadata': {'drugData': {'dose': [], 'form': [], 'frequency': [], 'route': [], 'strength': [], 'unit': []}, 'labData': {'method': [], 'system': [], 'unit': [], 'value': [255, 256, 258]}, 'measData': {'unit': [], 'value': []}, 'normalization': [{'begin': [1176], 'cuis': ['C0201975'], 'end': [1186], 'sourceType': ['MDR'], 'suis': [], 'tuis': ['T059']}]}, 'sectionId': 12, 'segmentId': 15, 'sentenceId': 24, 'status': 'CURRENT', 'textSpan': [{'begin': 1176, 'end': 1186, 'text': 'creatinine'}], 'type': 'LABORATORY_DATA'}"
