Word	WordId	Freq
neoplasm	1	15660
of	2	412604
anterior	3	6370
aspect	4	585
epiglottis	5	247
junctional	6	202
region	7	6362
lateral	8	4655
wall	9	3613
oropharynx	10	373
posterior	11	5824
esophagus	12	1905
cervical	13	6017
thoracic	14	5465
abdominal	15	4586
middle	16	3078
third	17	3981
lower	18	9983
stomach	19	2214
cardia	20	100
fundus	21	328
body	22	47930
lesser	23	898
curvature	24	265
greater	25	811
pyloric	26	231
antrum	27	232
pylorus	28	170
small	29	2750
intestine	30	2681
duodenum	31	824
jejunum	32	557
ileum	33	560
meckel's	34	79
diverticulum	35	548
large	36	1808
colon	37	2152
cecum	38	230
ascending	39	424
hepatic	40	1213
flexure	41	206
transverse	42	1178
splenic	43	378
descending	44	514
sigmoid	45	381
appendix	46	459
rectum	47	1647
rectosigmoid	48	94
junction	49	724
anus	50	792
anal	51	1181
canal	52	1995
liver	53	3601
intrahepatic	54	219
bile	55	1803
ducts	56	326
biliary	57	910
tract	58	4548
gallbladder	59	1081
extrahepatic	60	155
cystic	61	909
duct	62	3776
common	63	1791
ampulla	64	300
vater	65	196
pancreas	66	1493
head	67	5588
tail	68	280
pancreatic	69	1259
islets	70	46
langerhans	71	119
the	72	11503
peritoneum	73	618
parietal	74	604
pelvic	75	2772
rectouterine	76	30
pouch	77	419
mesentery	78	249
mesocolon	79	32
omentum	80	150
retroperitoneum	81	229
periadrenal	82	31
tissue	83	10165
perirenal	84	96
retrocecal	85	55
mesothelial	86	96
disorder	87	137600
glucose	88	1792
metabolism	89	727
persistent	90	803
preputial	91	40
frenulum	92	123
urinary	93	3307
system	94	12443
kidney	95	3307
renal	96	4485
pelvis	97	2487
ureter	98	1314
urethra	99	934
paraurethral	100	73
glands	101	407
bladder	102	3974
trigone	103	86
apex	104	421
neck	105	5375
ureteric	106	477
orifice	107	501
urachus	108	74
male	109	2604
genital	110	2010
organ	111	2615
penis	112	1468
prepuce	113	162
glans	114	146
testis	115	1182
undescended	116	96
epididymis	117	428
vas	118	422
deferens	119	410
spermatic	120	412
cord	121	5420
scrotum	122	765
prostate	123	1865
female	124	3363
uterus	125	2322
myometrium	126	60
isthmus	127	112
endocervix	128	61
exocervix	129	37
uteri	130	432
uterine	131	2332
adnexa	132	280
fallopian	133	1639
tube	134	3810
broad	135	421
ligament	136	5155
parametrium	137	45
round	138	242
placenta	139	914
vagina	140	1687
vulva	141	1333
labia	142	232
majora	143	62
minora	144	28
clitoris	145	277
breast	146	5817
nipple	147	877
areola	148	136
central	149	3031
portion	150	1068
upper	151	9121
inner	152	834
quadrant	153	517
outer	154	417
axillary	155	896
ectopic	156	887
subdural	157	670
hemorrhage	158	3567
due	159	20134
to	160	64542
birth	161	1653
trauma	162	1185
separation	163	269
anxiety	164	660
hypoxic-ischemic	165	5
brain	166	2919
injury	167	11543
perinatal	168	911
anoxic-ischemic	169	8
excessive	170	1180
cerumen	171	21
in	172	55992
ear	173	4910
cerebellopontine	174	23
angle	175	614
tumor	176	9846
meningioma	177	168
acoustic	178	235
neuroma	179	176
nervous	180	2248
cerebrum	181	130
frontal	182	828
lobe	183	1911
temporal	184	912
occipital	185	602
cerebral	186	3125
ventricle	187	1439
meninges	188	593
cerebellum	189	197
stem	190	492
spinal	191	5881
cauda	192	205
equina	193	210
cranial	194	1692
nerve	195	11575
olfactory	196	211
optic	197	1376
oculomotor	198	250
trochlear	199	115
trigeminal	200	372
abducens	201	86
facial	202	1452
glossopharyngeal	203	209
vagus	204	471
accessory	205	1200
hypoglossal	206	131
autonomic	207	545
peripheral	208	2819
and	209	83583
/	210	92115
or	211	55463
nerves	212	629
face	213	2132
limb	214	7649
shoulder	215	4246
hip	216	4010
thorax	217	1247
abdomen	218	1792
trunk	219	2104
eye	220	9190
conjunctiva	221	630
cornea	222	937
ciliary	223	686
sclera	224	370
uveal	225	149
choroid	226	554
retina	227	1040
orbit	228	868
lacrimal	229	1555
gland	230	4790
mastoid	231	551
air	232	1389
cells	233	1464
endocrine	234	1302
receptor	235	1962
diabetic	236	1409
sensory	237	935
polyneuropathy	238	376
lipoatrophic	239	21
diabetes	240	3449
disease	241	16673
angiopathy	242	63
multiple	243	4359
